user_db_id,indiv_count,field_count,asp_top_count,asp_mid_count,asp_low_count,asp_none_count,gender,institution_bin_3,institution_bin_10,career_stage,field,domain
194516,1,0,True,False,True,True,1.0,1.0,3.0,Full Professor,Psychology,Non-STEM
194522,0,2,True,False,False,True,0.0,1.0,4.0,Associate Professor,Business,Non-STEM
194533,5,2,True,True,True,False,1.0,3.0,9.0,Full Professor,Biology,STEM
194668,1,0,True,True,True,False,1.0,2.0,6.0,Associate Professor,Medicine,STEM
194674,3,0,True,True,False,True,1.0,1.0,3.0,Associate Professor,Sociology,Non-STEM
194697,3,5,True,True,True,False,0.0,1.0,3.0,Full Professor,Physics,STEM
194703,1,0,True,True,True,False,1.0,2.0,4.0,Associate Professor,Psychology,Non-STEM
194769,2,0,True,True,False,True,0.0,1.0,2.0,Assistant Professor,Sociology,Non-STEM
194824,1,0,True,True,True,False,0.0,2.0,5.0,Full Professor,Business,Non-STEM
194839,0,0,False,True,True,True,0.0,3.0,10.0,Full Professor,Psychology,Non-STEM
194848,5,3,True,True,True,False,0.0,1.0,2.0,Full Professor,Chemistry,STEM
194888,1,0,False,False,True,True,0.0,,,Associate Professor,Business,Non-STEM
194896,1,2,False,True,True,True,1.0,2.0,7.0,Full Professor,Biology,STEM
194943,3,0,True,True,True,False,1.0,1.0,3.0,Full Professor,Business,Non-STEM
194946,3,0,True,True,True,False,0.0,2.0,4.0,Full Professor,Engineering,STEM
194973,5,0,True,True,True,False,0.0,3.0,8.0,Full Professor,Business,Non-STEM
194981,2,0,False,True,True,True,0.0,2.0,5.0,Associate Professor,Biology,STEM
194987,5,3,True,True,True,False,0.0,1.0,2.0,Full Professor,Biology,STEM
195003,3,1,True,True,False,True,1.0,2.0,7.0,Full Professor,Sociology,Non-STEM
195012,2,0,True,True,True,False,0.0,2.0,7.0,Full Professor,Economics,Non-STEM
195134,3,0,True,True,True,False,0.0,,,Full Professor,Business,Non-STEM
195195,0,0,False,False,False,True,1.0,2.0,4.0,Associate Professor,Mathematics,STEM
195251,2,0,False,True,True,True,,3.0,8.0,Associate Professor,Psychology,Non-STEM
195278,3,1,True,True,True,False,0.0,3.0,8.0,Full Professor,Physics,STEM
195306,1,0,False,True,False,True,0.0,2.0,4.0,Associate Professor,Mathematics,STEM
195313,1,1,True,True,False,True,1.0,,,Full Professor,Business,Non-STEM
195344,1,0,False,True,True,True,0.0,3.0,9.0,Full Professor,Sociology,Non-STEM
195360,3,0,False,True,True,True,0.0,3.0,9.0,Full Professor,Mathematics,STEM
195375,3,1,True,True,True,False,0.0,1.0,2.0,Associate Professor,Medicine,STEM
195431,3,0,True,True,True,False,,,,Full Professor,Computer science,STEM
195451,1,0,False,False,False,True,0.0,3.0,7.0,Associate Professor,Computer science,STEM
195458,3,0,True,True,True,False,0.0,,,Full Professor,Business,Non-STEM
195502,3,1,True,True,True,False,0.0,1.0,3.0,Full Professor,Biology,STEM
195506,2,1,True,False,True,True,0.0,3.0,9.0,Full Professor,Engineering,STEM
195569,3,3,True,True,True,False,0.0,1.0,3.0,Full Professor,Chemistry,STEM
195617,4,1,True,True,True,False,0.0,2.0,7.0,Associate Professor,Biology,STEM
195690,0,0,False,False,True,True,0.0,2.0,6.0,Associate Professor,Economics,Non-STEM
195733,2,0,True,True,True,False,,1.0,3.0,Full Professor,Engineering,STEM
195767,2,0,False,True,False,True,0.0,3.0,9.0,Full Professor,Mathematics,STEM
195771,2,2,True,True,True,False,1.0,2.0,5.0,Full Professor,Physics,STEM
195784,1,1,False,False,True,True,0.0,1.0,1.0,Associate Professor,Engineering,STEM
195829,1,0,False,True,True,True,0.0,2.0,5.0,Associate Professor,Engineering,STEM
195877,0,0,False,True,True,True,,3.0,10.0,Assistant Professor,Biology,STEM
195905,1,2,True,True,False,True,0.0,,,Full Professor,Business,Non-STEM
195913,3,2,True,True,True,False,1.0,1.0,2.0,Full Professor,Sociology,Non-STEM
195931,4,1,True,True,True,False,1.0,1.0,3.0,Full Professor,Chemistry,STEM
195940,4,3,True,True,True,False,0.0,1.0,4.0,Full Professor,Mathematics,STEM
195969,2,0,False,True,True,True,0.0,3.0,10.0,Associate Professor,Mathematics,STEM
195974,2,0,True,True,False,True,1.0,3.0,8.0,Full Professor,Psychology,Non-STEM
195975,0,0,False,True,True,True,1.0,3.0,8.0,Full Professor,Psychology,Non-STEM
195978,3,1,False,True,True,True,0.0,1.0,4.0,Full Professor,Chemistry,STEM
195987,3,2,True,True,True,False,0.0,2.0,6.0,Full Professor,History,STEM
195999,0,0,False,False,True,True,0.0,1.0,3.0,Full Professor,Mathematics,STEM
196006,2,0,False,False,False,True,0.0,2.0,6.0,Full Professor,History,STEM
196019,4,3,True,True,False,True,0.0,2.0,4.0,Full Professor,Biology,STEM
196131,0,0,False,True,True,True,0.0,1.0,3.0,Assistant Professor,Mathematics,STEM
196146,0,0,False,True,True,True,1.0,1.0,3.0,Full Professor,Psychology,Non-STEM
196150,3,2,True,True,True,False,0.0,1.0,1.0,Associate Professor,Biology,STEM
196174,3,1,False,True,True,True,1.0,2.0,6.0,Full Professor,Biology,STEM
196209,2,1,True,True,True,False,1.0,1.0,3.0,Full Professor,Medicine,STEM
196211,2,0,False,True,True,True,1.0,2.0,4.0,Assistant Professor,Biology,STEM
196253,2,0,False,False,False,True,0.0,3.0,9.0,Associate Professor,Psychology,Non-STEM
196395,4,3,False,True,True,True,0.0,1.0,1.0,Associate Professor,Economics,Non-STEM
196397,0,0,False,True,True,True,,3.0,9.0,Associate Professor,Psychology,Non-STEM
196437,5,3,True,True,True,False,0.0,3.0,8.0,Full Professor,Chemistry,STEM
196462,3,0,True,True,False,True,1.0,3.0,9.0,Associate Professor,Psychology,Non-STEM
196507,1,0,False,False,True,True,0.0,3.0,10.0,Full Professor,Philosophy,Non-STEM
196524,4,0,True,True,True,False,0.0,,,Full Professor,Business,Non-STEM
196560,0,2,False,False,False,True,0.0,1.0,1.0,Full Professor,Physics,STEM
196594,1,0,False,True,True,True,1.0,,,Full Professor,Psychology,Non-STEM
196606,3,3,True,True,True,False,0.0,1.0,1.0,Full Professor,Biology,STEM
196613,1,1,True,True,True,False,0.0,2.0,4.0,Full Professor,Chemistry,STEM
196630,2,0,True,True,True,False,0.0,2.0,5.0,Full Professor,Engineering,STEM
196645,4,0,True,False,False,True,1.0,2.0,7.0,Full Professor,Psychology,Non-STEM
196651,2,1,True,True,True,False,0.0,3.0,10.0,Associate Professor,Physics,STEM
196653,0,0,False,False,False,True,0.0,,,Associate Professor,Computer science,STEM
196685,3,0,True,True,False,True,0.0,1.0,1.0,Full Professor,Engineering,STEM
196686,1,0,False,True,True,True,0.0,3.0,8.0,Associate Professor,Engineering,STEM
196692,1,0,False,True,True,True,0.0,3.0,7.0,Full Professor,Biology,STEM
196713,3,3,True,False,True,True,0.0,1.0,1.0,Full Professor,Physics,STEM
196731,1,0,True,False,True,True,1.0,2.0,5.0,Associate Professor,Psychology,Non-STEM
196751,3,1,True,True,True,False,0.0,1.0,2.0,Full Professor,History,STEM
196755,3,3,True,True,False,True,0.0,1.0,2.0,Full Professor,Biology,STEM
196780,2,0,False,True,True,True,1.0,3.0,9.0,Associate Professor,Psychology,Non-STEM
196806,3,2,True,True,True,False,0.0,2.0,4.0,Full Professor,Sociology,Non-STEM
196925,4,3,True,True,True,False,0.0,2.0,6.0,Full Professor,Biology,STEM
196939,0,0,False,True,True,True,1.0,3.0,8.0,Associate Professor,Psychology,Non-STEM
196987,2,0,True,True,True,False,1.0,3.0,10.0,Associate Professor,Business,Non-STEM
197044,2,0,True,True,True,False,0.0,,,Full Professor,Computer science,STEM
197068,4,2,True,True,True,False,0.0,2.0,5.0,Full Professor,Sociology,Non-STEM
