field,venue_db_id,jif,unscaled_rank,scaled_rank,normed_rank,prob_upset_top,n_selected,frac_selected,ordinal_porc,ordinal_jif,subset_ordinal_porc,subset_ordinal_jif
Philosophy,1648033,0.7,-0.05010605095969765,-0.16065424385477373,0.334702097045512,9.364104929636898e-05,1,0.008695652173913,240.0,240.5,240.0,
Philosophy,1650086,6.6,-0.009724022343140572,-0.031177980041187433,0.36551113942569435,0.0001434320115825,1,0.008695652173913,192.0,32.0,192.0,
Philosophy,1664675,1.2,0.019589488459826308,0.06280946903092764,0.38787557300123415,0.0001861709916022,1,0.008695652173913,160.0,173.0,160.0,
Philosophy,1676715,1.8,0.09121080029463456,0.29244775575128884,0.44251829668892273,0.0004016067499567,1,0.008695652173913,87.0,120.0,87.0,
Philosophy,1664668,,-0.08473574630583675,-0.27168689189223394,0.3082817366009513,6.848215276075881e-05,1,0.008695652173913,283.0,,283.0,
Philosophy,1656474,3.2,-0.10811115673335123,-0.3466351030383871,0.290447714012493,5.254523211439753e-05,1,0.008695652173913,304.0,63.0,304.0,
Philosophy,1686981,,0.01683383444658868,0.05397405886902621,0.38577317586598603,0.0001866485793175,1,0.008695652173913,165.0,,165.0,
Philosophy,1658887,2.4,-0.005883027692897567,-0.018862659249266365,0.36844158574093644,0.0001470499705596,1,0.008695652173913,186.0,85.0,186.0,
Philosophy,1659805,,-0.046669310694738654,-0.1496350775461708,0.3373241217456131,9.711177253005569e-05,1,0.008695652173913,236.0,,236.0,
Philosophy,1651834,0.9,-0.19188900767423867,-0.6152507100737941,0.22653028716236906,2.210623485992824e-05,1,0.008695652173913,360.0,208.5,360.0,
Philosophy,1653213,3.5,0.2387694494247483,0.7655627338064929,0.5550966101208576,0.0017680313193916,1,0.008695652173913,31.0,55.0,31.0,
Philosophy,1657291,0.3,-0.14812337980876686,-0.47492566515632056,0.2599208108655235,3.10687104366127e-05,1,0.008695652173913,329.0,287.0,329.0,
Philosophy,1651135,0.8,-0.015167841891782483,-0.04863241311898789,0.36135783477681876,0.0001330292526617,1,0.008695652173913,199.0,223.5,199.0,
Philosophy,1655230,1.6,0.005253561645964006,0.01684441215404617,0.3769381289970866,0.0001645814555,1,0.008695652173913,174.0,135.0,174.0,
